"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2023-06-01,"2023",6,1,22,"FXD JET 100","VENTES DIRECTES",100
"2",2023-06-02,"2023",6,2,22,"FXD JET 100","VENTES DIRECTES",100
"3",2023-06-03,"2023",6,3,22,"FXD JET 100","VENTES DIRECTES",100
"4",2023-06-04,"2023",6,4,23,"FXD JET 100","VENTES DIRECTES",99
"5",2023-06-05,"2023",6,5,23,"FXD JET 100","VENTES DIRECTES",99
"6",2023-06-06,"2023",6,6,23,"FXD JET 100","VENTES DIRECTES",98
"7",2023-06-07,"2023",6,7,23,"FXD JET 100","VENTES DIRECTES",97
"8",2023-06-08,"2023",6,8,23,"FXD JET 100","VENTES DIRECTES",97
"9",2023-06-09,"2023",6,9,23,"FXD JET 100","VENTES DIRECTES",96
"10",2023-06-10,"2023",6,10,23,"FXD JET 100","VENTES DIRECTES",96
"11",2023-06-11,"2023",6,11,24,"FXD JET 100","VENTES DIRECTES",96
"12",2023-06-12,"2023",6,12,24,"FXD JET 100","VENTES DIRECTES",94
"13",2023-06-13,"2023",6,13,24,"FXD JET 100","VENTES DIRECTES",95
"14",2023-06-14,"2023",6,14,24,"FXD JET 100","VENTES DIRECTES",95
"15",2023-06-15,"2023",6,15,24,"FXD JET 100","VENTES DIRECTES",96
"16",2023-06-16,"2023",6,16,24,"FXD JET 100","VENTES DIRECTES",97
"17",2023-06-17,"2023",6,17,24,"FXD JET 100","VENTES DIRECTES",97
"18",2023-06-18,"2023",6,18,25,"FXD JET 100","VENTES DIRECTES",99
"19",2023-06-19,"2023",6,19,25,"FXD JET 100","VENTES DIRECTES",99
"20",2023-06-20,"2023",6,20,25,"FXD JET 100","VENTES DIRECTES",98
"21",2023-06-21,"2023",6,21,25,"FXD JET 100","VENTES DIRECTES",97
"22",2023-06-22,"2023",6,22,25,"FXD JET 100","VENTES DIRECTES",97
"23",2023-06-23,"2023",6,23,25,"FXD JET 100","VENTES DIRECTES",97
"24",2023-06-24,"2023",6,24,25,"FXD JET 100","VENTES DIRECTES",97
"25",2023-06-25,"2023",6,25,26,"FXD JET 100","VENTES DIRECTES",97
"26",2023-06-26,"2023",6,26,26,"FXD JET 100","VENTES DIRECTES",97
"27",2023-06-27,"2023",6,27,26,"FXD JET 100","VENTES DIRECTES",97
"28",2023-06-28,"2023",6,28,26,"FXD JET 100","VENTES DIRECTES",98
"29",2023-06-29,"2023",6,29,26,"FXD JET 100","VENTES DIRECTES",99
"30",2023-06-30,"2023",6,30,26,"FXD JET 100","VENTES DIRECTES",99
