"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2021-10-01,"2021",10,1,40,"FXD JET 100","VENTES DIRECTES",99
"2",2021-10-02,"2021",10,2,40,"FXD JET 100","VENTES DIRECTES",99
"3",2021-10-03,"2021",10,3,40,"FXD JET 100","VENTES DIRECTES",99
"4",2021-10-04,"2021",10,4,40,"FXD JET 100","VENTES DIRECTES",99
"5",2021-10-05,"2021",10,5,40,"FXD JET 100","VENTES DIRECTES",97
"6",2021-10-06,"2021",10,6,40,"FXD JET 100","VENTES DIRECTES",96
"7",2021-10-07,"2021",10,7,40,"FXD JET 100","VENTES DIRECTES",97
"8",2021-10-08,"2021",10,8,41,"FXD JET 100","VENTES DIRECTES",96
"9",2021-10-09,"2021",10,9,41,"FXD JET 100","VENTES DIRECTES",94
"10",2021-10-10,"2021",10,10,41,"FXD JET 100","VENTES DIRECTES",93
"11",2021-10-11,"2021",10,11,41,"FXD JET 100","VENTES DIRECTES",93
"12",2021-10-12,"2021",10,12,41,"FXD JET 100","VENTES DIRECTES",92
"13",2021-10-13,"2021",10,13,41,"FXD JET 100","VENTES DIRECTES",93
"14",2021-10-14,"2021",10,14,41,"FXD JET 100","VENTES DIRECTES",93
"15",2021-10-15,"2021",10,15,42,"FXD JET 100","VENTES DIRECTES",92
"16",2021-10-16,"2021",10,16,42,"FXD JET 100","VENTES DIRECTES",91
"17",2021-10-17,"2021",10,17,42,"FXD JET 100","VENTES DIRECTES",92
"18",2021-10-18,"2021",10,18,42,"FXD JET 100","VENTES DIRECTES",93
"19",2021-10-19,"2021",10,19,42,"FXD JET 100","VENTES DIRECTES",92
"20",2021-10-20,"2021",10,20,42,"FXD JET 100","VENTES DIRECTES",93
"21",2021-10-21,"2021",10,21,42,"FXD JET 100","VENTES DIRECTES",91
"22",2021-10-22,"2021",10,22,43,"FXD JET 100","VENTES DIRECTES",90
"23",2021-10-23,"2021",10,23,43,"FXD JET 100","VENTES DIRECTES",90
"24",2021-10-24,"2021",10,24,43,"FXD JET 100","VENTES DIRECTES",91
"25",2021-10-25,"2021",10,25,43,"FXD JET 100","VENTES DIRECTES",91
"26",2021-10-26,"2021",10,26,43,"FXD JET 100","VENTES DIRECTES",91
"27",2021-10-27,"2021",10,27,43,"FXD JET 100","VENTES DIRECTES",92
"28",2021-10-28,"2021",10,28,43,"FXD JET 100","VENTES DIRECTES",92
"29",2021-10-29,"2021",10,29,44,"FXD JET 100","VENTES DIRECTES",92
"30",2021-10-30,"2021",10,30,44,"FXD JET 100","VENTES DIRECTES",90
"31",2021-10-31,"2021",10,31,44,"FXD JET 100","VENTES DIRECTES",91
