"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2024-11-01,"2024",11,1,44,"FXD JET 100","VENTES DIRECTES",97
"2",2024-11-02,"2024",11,2,44,"FXD JET 100","VENTES DIRECTES",97
"3",2024-11-03,"2024",11,3,44,"FXD JET 100","VENTES DIRECTES",96
"4",2024-11-04,"2024",11,4,45,"FXD JET 100","VENTES DIRECTES",98
"5",2024-11-05,"2024",11,5,45,"FXD JET 100","VENTES DIRECTES",100
"6",2024-11-06,"2024",11,6,45,"FXD JET 100","VENTES DIRECTES",100
"7",2024-11-07,"2024",11,7,45,"FXD JET 100","VENTES DIRECTES",102
"8",2024-11-08,"2024",11,8,45,"FXD JET 100","VENTES DIRECTES",102
"9",2024-11-09,"2024",11,9,45,"FXD JET 100","VENTES DIRECTES",100
"10",2024-11-10,"2024",11,10,45,"FXD JET 100","VENTES DIRECTES",100
"11",2024-11-11,"2024",11,11,46,"FXD JET 100","VENTES DIRECTES",101
"12",2024-11-12,"2024",11,12,46,"FXD JET 100","VENTES DIRECTES",101
"13",2024-11-13,"2024",11,13,46,"FXD JET 100","VENTES DIRECTES",101
"14",2024-11-14,"2024",11,14,46,"FXD JET 100","VENTES DIRECTES",101
"15",2024-11-15,"2024",11,15,46,"FXD JET 100","VENTES DIRECTES",100
"16",2024-11-16,"2024",11,16,46,"FXD JET 100","VENTES DIRECTES",100
"17",2024-11-17,"2024",11,17,46,"FXD JET 100","VENTES DIRECTES",100
"18",2024-11-18,"2024",11,18,47,"FXD JET 100","VENTES DIRECTES",99
"19",2024-11-19,"2024",11,19,47,"FXD JET 100","VENTES DIRECTES",100
"20",2024-11-20,"2024",11,20,47,"FXD JET 100","VENTES DIRECTES",99
"21",2024-11-21,"2024",11,21,47,"FXD JET 100","VENTES DIRECTES",99
"22",2024-11-22,"2024",11,22,47,"FXD JET 100","VENTES DIRECTES",100
"23",2024-11-23,"2024",11,23,47,"FXD JET 100","VENTES DIRECTES",100
"24",2024-11-24,"2024",11,24,47,"FXD JET 100","VENTES DIRECTES",100
"25",2024-11-25,"2024",11,25,48,"FXD JET 100","VENTES DIRECTES",101
"26",2024-11-26,"2024",11,26,48,"FXD JET 100","VENTES DIRECTES",101
"27",2024-11-27,"2024",11,27,48,"FXD JET 100","VENTES DIRECTES",100
"28",2024-11-28,"2024",11,28,48,"FXD JET 100","VENTES DIRECTES",98
"29",2024-11-29,"2024",11,29,48,"FXD JET 100","VENTES DIRECTES",97
"30",2024-11-30,"2024",11,30,48,"FXD JET 100","VENTES DIRECTES",98
