"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2020-07-01,"2020",7,1,27,"FXD JET 100","VENTES DIRECTES",104
"2",2020-07-02,"2020",7,2,27,"FXD JET 100","VENTES DIRECTES",104
"3",2020-07-03,"2020",7,3,27,"FXD JET 100","VENTES DIRECTES",105
"4",2020-07-04,"2020",7,4,27,"FXD JET 100","VENTES DIRECTES",106
"5",2020-07-05,"2020",7,5,27,"FXD JET 100","VENTES DIRECTES",106
"6",2020-07-06,"2020",7,6,27,"FXD JET 100","VENTES DIRECTES",107
"7",2020-07-07,"2020",7,7,27,"FXD JET 100","VENTES DIRECTES",107
"8",2020-07-08,"2020",7,8,28,"FXD JET 100","VENTES DIRECTES",107
"9",2020-07-09,"2020",7,9,28,"FXD JET 100","VENTES DIRECTES",106
"10",2020-07-10,"2020",7,10,28,"FXD JET 100","VENTES DIRECTES",104
"11",2020-07-11,"2020",7,11,28,"FXD JET 100","VENTES DIRECTES",103
"12",2020-07-12,"2020",7,12,28,"FXD JET 100","VENTES DIRECTES",103
"13",2020-07-13,"2020",7,13,28,"FXD JET 100","VENTES DIRECTES",102
"14",2020-07-14,"2020",7,14,28,"FXD JET 100","VENTES DIRECTES",102
"15",2020-07-15,"2020",7,15,29,"FXD JET 100","VENTES DIRECTES",102
"16",2020-07-16,"2020",7,16,29,"FXD JET 100","VENTES DIRECTES",102
"17",2020-07-17,"2020",7,17,29,"FXD JET 100","VENTES DIRECTES",102
"18",2020-07-18,"2020",7,18,29,"FXD JET 100","VENTES DIRECTES",104
"19",2020-07-19,"2020",7,19,29,"FXD JET 100","VENTES DIRECTES",104
"20",2020-07-20,"2020",7,20,29,"FXD JET 100","VENTES DIRECTES",104
"21",2020-07-21,"2020",7,21,29,"FXD JET 100","VENTES DIRECTES",106
"22",2020-07-22,"2020",7,22,30,"FXD JET 100","VENTES DIRECTES",105
"23",2020-07-23,"2020",7,23,30,"FXD JET 100","VENTES DIRECTES",104
"24",2020-07-24,"2020",7,24,30,"FXD JET 100","VENTES DIRECTES",104
"25",2020-07-25,"2020",7,25,30,"FXD JET 100","VENTES DIRECTES",104
"26",2020-07-26,"2020",7,26,30,"FXD JET 100","VENTES DIRECTES",102
"27",2020-07-27,"2020",7,27,30,"FXD JET 100","VENTES DIRECTES",104
"28",2020-07-28,"2020",7,28,30,"FXD JET 100","VENTES DIRECTES",105
"29",2020-07-29,"2020",7,29,31,"FXD JET 100","VENTES DIRECTES",106
"30",2020-07-30,"2020",7,30,31,"FXD JET 100","VENTES DIRECTES",106
"31",2020-07-31,"2020",7,31,31,"FXD JET 100","VENTES DIRECTES",107
