"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2021-01-01,"2021",1,1,1,"FXD JET 100","VENTES DIRECTES",77
"2",2021-01-02,"2021",1,2,1,"FXD JET 100","VENTES DIRECTES",78
"3",2021-01-03,"2021",1,3,1,"FXD JET 100","VENTES DIRECTES",79
"4",2021-01-04,"2021",1,4,1,"FXD JET 100","VENTES DIRECTES",77
"5",2021-01-05,"2021",1,5,1,"FXD JET 100","VENTES DIRECTES",77
"6",2021-01-06,"2021",1,6,1,"FXD JET 100","VENTES DIRECTES",76
"7",2021-01-07,"2021",1,7,1,"FXD JET 100","VENTES DIRECTES",76
"8",2021-01-08,"2021",1,8,2,"FXD JET 100","VENTES DIRECTES",76
"9",2021-01-09,"2021",1,9,2,"FXD JET 100","VENTES DIRECTES",76
"10",2021-01-10,"2021",1,10,2,"FXD JET 100","VENTES DIRECTES",74
"11",2021-01-11,"2021",1,11,2,"FXD JET 100","VENTES DIRECTES",72
"12",2021-01-12,"2021",1,12,2,"FXD JET 100","VENTES DIRECTES",72
"13",2021-01-13,"2021",1,13,2,"FXD JET 100","VENTES DIRECTES",72
"14",2021-01-14,"2021",1,14,2,"FXD JET 100","VENTES DIRECTES",74
"15",2021-01-15,"2021",1,15,3,"FXD JET 100","VENTES DIRECTES",74
"16",2021-01-16,"2021",1,16,3,"FXD JET 100","VENTES DIRECTES",73
"17",2021-01-17,"2021",1,17,3,"FXD JET 100","VENTES DIRECTES",74
"18",2021-01-18,"2021",1,18,3,"FXD JET 100","VENTES DIRECTES",74
"19",2021-01-19,"2021",1,19,3,"FXD JET 100","VENTES DIRECTES",74
"20",2021-01-20,"2021",1,20,3,"FXD JET 100","VENTES DIRECTES",74
"21",2021-01-21,"2021",1,21,3,"FXD JET 100","VENTES DIRECTES",73
"22",2021-01-22,"2021",1,22,4,"FXD JET 100","VENTES DIRECTES",72
"23",2021-01-23,"2021",1,23,4,"FXD JET 100","VENTES DIRECTES",73
"24",2021-01-24,"2021",1,24,4,"FXD JET 100","VENTES DIRECTES",73
"25",2021-01-25,"2021",1,25,4,"FXD JET 100","VENTES DIRECTES",72
"26",2021-01-26,"2021",1,26,4,"FXD JET 100","VENTES DIRECTES",73
"27",2021-01-27,"2021",1,27,4,"FXD JET 100","VENTES DIRECTES",73
"28",2021-01-28,"2021",1,28,4,"FXD JET 100","VENTES DIRECTES",71
"29",2021-01-29,"2021",1,29,5,"FXD JET 100","VENTES DIRECTES",72
"30",2021-01-30,"2021",1,30,5,"FXD JET 100","VENTES DIRECTES",71
"31",2021-01-31,"2021",1,31,5,"FXD JET 100","VENTES DIRECTES",72
