"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2022-12-01,"2022",12,1,48,"FXD JET 100","VENTES DIRECTES",63
"2",2022-12-02,"2022",12,2,48,"FXD JET 100","VENTES DIRECTES",63
"3",2022-12-03,"2022",12,3,49,"FXD JET 100","VENTES DIRECTES",63
"4",2022-12-04,"2022",12,4,49,"FXD JET 100","VENTES DIRECTES",63
"5",2022-12-05,"2022",12,5,49,"FXD JET 100","VENTES DIRECTES",63
"6",2022-12-06,"2022",12,6,49,"FXD JET 100","VENTES DIRECTES",63
"7",2022-12-07,"2022",12,7,49,"FXD JET 100","VENTES DIRECTES",62
"8",2022-12-08,"2022",12,8,49,"FXD JET 100","VENTES DIRECTES",62
"9",2022-12-09,"2022",12,9,49,"FXD JET 100","VENTES DIRECTES",62
"10",2022-12-10,"2022",12,10,50,"FXD JET 100","VENTES DIRECTES",63
"11",2022-12-11,"2022",12,11,50,"FXD JET 100","VENTES DIRECTES",64
"12",2022-12-12,"2022",12,12,50,"FXD JET 100","VENTES DIRECTES",64
"13",2022-12-13,"2022",12,13,50,"FXD JET 100","VENTES DIRECTES",65
"14",2022-12-14,"2022",12,14,50,"FXD JET 100","VENTES DIRECTES",63
"15",2022-12-15,"2022",12,15,50,"FXD JET 100","VENTES DIRECTES",63
"16",2022-12-16,"2022",12,16,50,"FXD JET 100","VENTES DIRECTES",63
"17",2022-12-17,"2022",12,17,51,"FXD JET 100","VENTES DIRECTES",62
"18",2022-12-18,"2022",12,18,51,"FXD JET 100","VENTES DIRECTES",61
"19",2022-12-19,"2022",12,19,51,"FXD JET 100","VENTES DIRECTES",62
"20",2022-12-20,"2022",12,20,51,"FXD JET 100","VENTES DIRECTES",62
"21",2022-12-21,"2022",12,21,51,"FXD JET 100","VENTES DIRECTES",63
"22",2022-12-22,"2022",12,22,51,"FXD JET 100","VENTES DIRECTES",61
"23",2022-12-23,"2022",12,23,51,"FXD JET 100","VENTES DIRECTES",61
"24",2022-12-24,"2022",12,24,52,"FXD JET 100","VENTES DIRECTES",62
"25",2022-12-25,"2022",12,25,52,"FXD JET 100","VENTES DIRECTES",62
"26",2022-12-26,"2022",12,26,52,"FXD JET 100","VENTES DIRECTES",63
"27",2022-12-27,"2022",12,27,52,"FXD JET 100","VENTES DIRECTES",62
"28",2022-12-28,"2022",12,28,52,"FXD JET 100","VENTES DIRECTES",61
"29",2022-12-29,"2022",12,29,52,"FXD JET 100","VENTES DIRECTES",61
"30",2022-12-30,"2022",12,30,52,"FXD JET 100","VENTES DIRECTES",60
"31",2022-12-31,"2022",12,31,53,"FXD JET 100","VENTES DIRECTES",60
