"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2021-07-01,"2021",7,1,26,"FXD JET 100","VENTES DIRECTES",73
"2",2021-07-02,"2021",7,2,27,"FXD JET 100","VENTES DIRECTES",72
"3",2021-07-03,"2021",7,3,27,"FXD JET 100","VENTES DIRECTES",73
"4",2021-07-04,"2021",7,4,27,"FXD JET 100","VENTES DIRECTES",74
"5",2021-07-05,"2021",7,5,27,"FXD JET 100","VENTES DIRECTES",75
"6",2021-07-06,"2021",7,6,27,"FXD JET 100","VENTES DIRECTES",76
"7",2021-07-07,"2021",7,7,27,"FXD JET 100","VENTES DIRECTES",76
"8",2021-07-08,"2021",7,8,27,"FXD JET 100","VENTES DIRECTES",75
"9",2021-07-09,"2021",7,9,28,"FXD JET 100","VENTES DIRECTES",76
"10",2021-07-10,"2021",7,10,28,"FXD JET 100","VENTES DIRECTES",76
"11",2021-07-11,"2021",7,11,28,"FXD JET 100","VENTES DIRECTES",77
"12",2021-07-12,"2021",7,12,28,"FXD JET 100","VENTES DIRECTES",79
"13",2021-07-13,"2021",7,13,28,"FXD JET 100","VENTES DIRECTES",79
"14",2021-07-14,"2021",7,14,28,"FXD JET 100","VENTES DIRECTES",78
"15",2021-07-15,"2021",7,15,28,"FXD JET 100","VENTES DIRECTES",79
"16",2021-07-16,"2021",7,16,29,"FXD JET 100","VENTES DIRECTES",79
"17",2021-07-17,"2021",7,17,29,"FXD JET 100","VENTES DIRECTES",80
"18",2021-07-18,"2021",7,18,29,"FXD JET 100","VENTES DIRECTES",79
"19",2021-07-19,"2021",7,19,29,"FXD JET 100","VENTES DIRECTES",80
"20",2021-07-20,"2021",7,20,29,"FXD JET 100","VENTES DIRECTES",79
"21",2021-07-21,"2021",7,21,29,"FXD JET 100","VENTES DIRECTES",78
"22",2021-07-22,"2021",7,22,29,"FXD JET 100","VENTES DIRECTES",76
"23",2021-07-23,"2021",7,23,30,"FXD JET 100","VENTES DIRECTES",78
"24",2021-07-24,"2021",7,24,30,"FXD JET 100","VENTES DIRECTES",76
"25",2021-07-25,"2021",7,25,30,"FXD JET 100","VENTES DIRECTES",76
"26",2021-07-26,"2021",7,26,30,"FXD JET 100","VENTES DIRECTES",75
"27",2021-07-27,"2021",7,27,30,"FXD JET 100","VENTES DIRECTES",74
"28",2021-07-28,"2021",7,28,30,"FXD JET 100","VENTES DIRECTES",74
"29",2021-07-29,"2021",7,29,30,"FXD JET 100","VENTES DIRECTES",75
"30",2021-07-30,"2021",7,30,31,"FXD JET 100","VENTES DIRECTES",75
"31",2021-07-31,"2021",7,31,31,"FXD JET 100","VENTES DIRECTES",74
