"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2020-03-01,"2020",3,1,9,"FXD JET 100","VENTES DIRECTES",103
"2",2020-03-02,"2020",3,2,9,"FXD JET 100","VENTES DIRECTES",101
"3",2020-03-03,"2020",3,3,9,"FXD JET 100","VENTES DIRECTES",101
"4",2020-03-04,"2020",3,4,10,"FXD JET 100","VENTES DIRECTES",100
"5",2020-03-05,"2020",3,5,10,"FXD JET 100","VENTES DIRECTES",101
"6",2020-03-06,"2020",3,6,10,"FXD JET 100","VENTES DIRECTES",101
"7",2020-03-07,"2020",3,7,10,"FXD JET 100","VENTES DIRECTES",101
"8",2020-03-08,"2020",3,8,10,"FXD JET 100","VENTES DIRECTES",101
"9",2020-03-09,"2020",3,9,10,"FXD JET 100","VENTES DIRECTES",100
"10",2020-03-10,"2020",3,10,10,"FXD JET 100","VENTES DIRECTES",100
"11",2020-03-11,"2020",3,11,11,"FXD JET 100","VENTES DIRECTES",102
"12",2020-03-12,"2020",3,12,11,"FXD JET 100","VENTES DIRECTES",102
"13",2020-03-13,"2020",3,13,11,"FXD JET 100","VENTES DIRECTES",103
"14",2020-03-14,"2020",3,14,11,"FXD JET 100","VENTES DIRECTES",102
"15",2020-03-15,"2020",3,15,11,"FXD JET 100","VENTES DIRECTES",103
"16",2020-03-16,"2020",3,16,11,"FXD JET 100","VENTES DIRECTES",103
"17",2020-03-17,"2020",3,17,11,"FXD JET 100","VENTES DIRECTES",101
"18",2020-03-18,"2020",3,18,12,"FXD JET 100","VENTES DIRECTES",101
"19",2020-03-19,"2020",3,19,12,"FXD JET 100","VENTES DIRECTES",102
"20",2020-03-20,"2020",3,20,12,"FXD JET 100","VENTES DIRECTES",105
"21",2020-03-21,"2020",3,21,12,"FXD JET 100","VENTES DIRECTES",105
"22",2020-03-22,"2020",3,22,12,"FXD JET 100","VENTES DIRECTES",103
"23",2020-03-23,"2020",3,23,12,"FXD JET 100","VENTES DIRECTES",104
"24",2020-03-24,"2020",3,24,12,"FXD JET 100","VENTES DIRECTES",106
"25",2020-03-25,"2020",3,25,13,"FXD JET 100","VENTES DIRECTES",107
"26",2020-03-26,"2020",3,26,13,"FXD JET 100","VENTES DIRECTES",107
"27",2020-03-27,"2020",3,27,13,"FXD JET 100","VENTES DIRECTES",107
"28",2020-03-28,"2020",3,28,13,"FXD JET 100","VENTES DIRECTES",106
"29",2020-03-29,"2020",3,29,13,"FXD JET 100","VENTES DIRECTES",106
"30",2020-03-30,"2020",3,30,13,"FXD JET 100","VENTES DIRECTES",105
"31",2020-03-31,"2020",3,31,13,"FXD JET 100","VENTES DIRECTES",105
