"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2022-04-01,"2022",4,1,13,"FXD JET 100","VENTES DIRECTES",77
"2",2022-04-02,"2022",4,2,14,"FXD JET 100","VENTES DIRECTES",75
"3",2022-04-03,"2022",4,3,14,"FXD JET 100","VENTES DIRECTES",76
"4",2022-04-04,"2022",4,4,14,"FXD JET 100","VENTES DIRECTES",75
"5",2022-04-05,"2022",4,5,14,"FXD JET 100","VENTES DIRECTES",75
"6",2022-04-06,"2022",4,6,14,"FXD JET 100","VENTES DIRECTES",75
"7",2022-04-07,"2022",4,7,14,"FXD JET 100","VENTES DIRECTES",75
"8",2022-04-08,"2022",4,8,14,"FXD JET 100","VENTES DIRECTES",76
"9",2022-04-09,"2022",4,9,15,"FXD JET 100","VENTES DIRECTES",75
"10",2022-04-10,"2022",4,10,15,"FXD JET 100","VENTES DIRECTES",74
"11",2022-04-11,"2022",4,11,15,"FXD JET 100","VENTES DIRECTES",74
"12",2022-04-12,"2022",4,12,15,"FXD JET 100","VENTES DIRECTES",74
"13",2022-04-13,"2022",4,13,15,"FXD JET 100","VENTES DIRECTES",73
"14",2022-04-14,"2022",4,14,15,"FXD JET 100","VENTES DIRECTES",73
"15",2022-04-15,"2022",4,15,15,"FXD JET 100","VENTES DIRECTES",72
"16",2022-04-16,"2022",4,16,16,"FXD JET 100","VENTES DIRECTES",72
"17",2022-04-17,"2022",4,17,16,"FXD JET 100","VENTES DIRECTES",73
"18",2022-04-18,"2022",4,18,16,"FXD JET 100","VENTES DIRECTES",73
"19",2022-04-19,"2022",4,19,16,"FXD JET 100","VENTES DIRECTES",73
"20",2022-04-20,"2022",4,20,16,"FXD JET 100","VENTES DIRECTES",73
"21",2022-04-21,"2022",4,21,16,"FXD JET 100","VENTES DIRECTES",73
"22",2022-04-22,"2022",4,22,16,"FXD JET 100","VENTES DIRECTES",73
"23",2022-04-23,"2022",4,23,17,"FXD JET 100","VENTES DIRECTES",74
"24",2022-04-24,"2022",4,24,17,"FXD JET 100","VENTES DIRECTES",74
"25",2022-04-25,"2022",4,25,17,"FXD JET 100","VENTES DIRECTES",74
"26",2022-04-26,"2022",4,26,17,"FXD JET 100","VENTES DIRECTES",75
"27",2022-04-27,"2022",4,27,17,"FXD JET 100","VENTES DIRECTES",75
"28",2022-04-28,"2022",4,28,17,"FXD JET 100","VENTES DIRECTES",76
"29",2022-04-29,"2022",4,29,17,"FXD JET 100","VENTES DIRECTES",77
"30",2022-04-30,"2022",4,30,18,"FXD JET 100","VENTES DIRECTES",75
