"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2023-10-01,"2023",10,1,40,"FXD JET 100","VENTES DIRECTES",108
"2",2023-10-02,"2023",10,2,40,"FXD JET 100","VENTES DIRECTES",107
"3",2023-10-03,"2023",10,3,40,"FXD JET 100","VENTES DIRECTES",107
"4",2023-10-04,"2023",10,4,40,"FXD JET 100","VENTES DIRECTES",108
"5",2023-10-05,"2023",10,5,40,"FXD JET 100","VENTES DIRECTES",108
"6",2023-10-06,"2023",10,6,40,"FXD JET 100","VENTES DIRECTES",108
"7",2023-10-07,"2023",10,7,40,"FXD JET 100","VENTES DIRECTES",108
"8",2023-10-08,"2023",10,8,41,"FXD JET 100","VENTES DIRECTES",107
"9",2023-10-09,"2023",10,9,41,"FXD JET 100","VENTES DIRECTES",107
"10",2023-10-10,"2023",10,10,41,"FXD JET 100","VENTES DIRECTES",108
"11",2023-10-11,"2023",10,11,41,"FXD JET 100","VENTES DIRECTES",108
"12",2023-10-12,"2023",10,12,41,"FXD JET 100","VENTES DIRECTES",108
"13",2023-10-13,"2023",10,13,41,"FXD JET 100","VENTES DIRECTES",109
"14",2023-10-14,"2023",10,14,41,"FXD JET 100","VENTES DIRECTES",109
"15",2023-10-15,"2023",10,15,42,"FXD JET 100","VENTES DIRECTES",109
"16",2023-10-16,"2023",10,16,42,"FXD JET 100","VENTES DIRECTES",109
"17",2023-10-17,"2023",10,17,42,"FXD JET 100","VENTES DIRECTES",109
"18",2023-10-18,"2023",10,18,42,"FXD JET 100","VENTES DIRECTES",109
"19",2023-10-19,"2023",10,19,42,"FXD JET 100","VENTES DIRECTES",108
"20",2023-10-20,"2023",10,20,42,"FXD JET 100","VENTES DIRECTES",110
"21",2023-10-21,"2023",10,21,42,"FXD JET 100","VENTES DIRECTES",109
"22",2023-10-22,"2023",10,22,43,"FXD JET 100","VENTES DIRECTES",108
"23",2023-10-23,"2023",10,23,43,"FXD JET 100","VENTES DIRECTES",109
"24",2023-10-24,"2023",10,24,43,"FXD JET 100","VENTES DIRECTES",108
"25",2023-10-25,"2023",10,25,43,"FXD JET 100","VENTES DIRECTES",109
"26",2023-10-26,"2023",10,26,43,"FXD JET 100","VENTES DIRECTES",110
"27",2023-10-27,"2023",10,27,43,"FXD JET 100","VENTES DIRECTES",110
"28",2023-10-28,"2023",10,28,43,"FXD JET 100","VENTES DIRECTES",111
"29",2023-10-29,"2023",10,29,44,"FXD JET 100","VENTES DIRECTES",111
"30",2023-10-30,"2023",10,30,44,"FXD JET 100","VENTES DIRECTES",111
"31",2023-10-31,"2023",10,31,44,"FXD JET 100","VENTES DIRECTES",110
