"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2020-01-01,"2020",1,1,1,"FXD JET 100","VENTES DIRECTES",100
"2",2020-01-02,"2020",1,2,1,"FXD JET 100","VENTES DIRECTES",101
"3",2020-01-03,"2020",1,3,1,"FXD JET 100","VENTES DIRECTES",100
"4",2020-01-04,"2020",1,4,1,"FXD JET 100","VENTES DIRECTES",101
"5",2020-01-05,"2020",1,5,1,"FXD JET 100","VENTES DIRECTES",101
"6",2020-01-06,"2020",1,6,1,"FXD JET 100","VENTES DIRECTES",102
"7",2020-01-07,"2020",1,7,1,"FXD JET 100","VENTES DIRECTES",103
"8",2020-01-08,"2020",1,8,2,"FXD JET 100","VENTES DIRECTES",103
"9",2020-01-09,"2020",1,9,2,"FXD JET 100","VENTES DIRECTES",102
"10",2020-01-10,"2020",1,10,2,"FXD JET 100","VENTES DIRECTES",102
"11",2020-01-11,"2020",1,11,2,"FXD JET 100","VENTES DIRECTES",103
"12",2020-01-12,"2020",1,12,2,"FXD JET 100","VENTES DIRECTES",102
"13",2020-01-13,"2020",1,13,2,"FXD JET 100","VENTES DIRECTES",102
"14",2020-01-14,"2020",1,14,2,"FXD JET 100","VENTES DIRECTES",103
"15",2020-01-15,"2020",1,15,3,"FXD JET 100","VENTES DIRECTES",102
"16",2020-01-16,"2020",1,16,3,"FXD JET 100","VENTES DIRECTES",102
"17",2020-01-17,"2020",1,17,3,"FXD JET 100","VENTES DIRECTES",103
"18",2020-01-18,"2020",1,18,3,"FXD JET 100","VENTES DIRECTES",104
"19",2020-01-19,"2020",1,19,3,"FXD JET 100","VENTES DIRECTES",104
"20",2020-01-20,"2020",1,20,3,"FXD JET 100","VENTES DIRECTES",104
"21",2020-01-21,"2020",1,21,3,"FXD JET 100","VENTES DIRECTES",105
"22",2020-01-22,"2020",1,22,4,"FXD JET 100","VENTES DIRECTES",106
"23",2020-01-23,"2020",1,23,4,"FXD JET 100","VENTES DIRECTES",106
"24",2020-01-24,"2020",1,24,4,"FXD JET 100","VENTES DIRECTES",105
"25",2020-01-25,"2020",1,25,4,"FXD JET 100","VENTES DIRECTES",104
"26",2020-01-26,"2020",1,26,4,"FXD JET 100","VENTES DIRECTES",105
"27",2020-01-27,"2020",1,27,4,"FXD JET 100","VENTES DIRECTES",106
"28",2020-01-28,"2020",1,28,4,"FXD JET 100","VENTES DIRECTES",107
"29",2020-01-29,"2020",1,29,5,"FXD JET 100","VENTES DIRECTES",107
"30",2020-01-30,"2020",1,30,5,"FXD JET 100","VENTES DIRECTES",109
"31",2020-01-31,"2020",1,31,5,"FXD JET 100","VENTES DIRECTES",110
