"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2020-08-01,"2020",8,1,31,"FXD JET 100","VENTES DIRECTES",108
"2",2020-08-02,"2020",8,2,31,"FXD JET 100","VENTES DIRECTES",109
"3",2020-08-03,"2020",8,3,31,"FXD JET 100","VENTES DIRECTES",110
"4",2020-08-04,"2020",8,4,31,"FXD JET 100","VENTES DIRECTES",110
"5",2020-08-05,"2020",8,5,32,"FXD JET 100","VENTES DIRECTES",108
"6",2020-08-06,"2020",8,6,32,"FXD JET 100","VENTES DIRECTES",106
"7",2020-08-07,"2020",8,7,32,"FXD JET 100","VENTES DIRECTES",106
"8",2020-08-08,"2020",8,8,32,"FXD JET 100","VENTES DIRECTES",108
"9",2020-08-09,"2020",8,9,32,"FXD JET 100","VENTES DIRECTES",108
"10",2020-08-10,"2020",8,10,32,"FXD JET 100","VENTES DIRECTES",107
"11",2020-08-11,"2020",8,11,32,"FXD JET 100","VENTES DIRECTES",104
"12",2020-08-12,"2020",8,12,33,"FXD JET 100","VENTES DIRECTES",104
"13",2020-08-13,"2020",8,13,33,"FXD JET 100","VENTES DIRECTES",103
"14",2020-08-14,"2020",8,14,33,"FXD JET 100","VENTES DIRECTES",102
"15",2020-08-15,"2020",8,15,33,"FXD JET 100","VENTES DIRECTES",101
"16",2020-08-16,"2020",8,16,33,"FXD JET 100","VENTES DIRECTES",101
"17",2020-08-17,"2020",8,17,33,"FXD JET 100","VENTES DIRECTES",100
"18",2020-08-18,"2020",8,18,33,"FXD JET 100","VENTES DIRECTES",101
"19",2020-08-19,"2020",8,19,34,"FXD JET 100","VENTES DIRECTES",100
"20",2020-08-20,"2020",8,20,34,"FXD JET 100","VENTES DIRECTES",100
"21",2020-08-21,"2020",8,21,34,"FXD JET 100","VENTES DIRECTES",100
"22",2020-08-22,"2020",8,22,34,"FXD JET 100","VENTES DIRECTES",101
"23",2020-08-23,"2020",8,23,34,"FXD JET 100","VENTES DIRECTES",100
"24",2020-08-24,"2020",8,24,34,"FXD JET 100","VENTES DIRECTES",100
"25",2020-08-25,"2020",8,25,34,"FXD JET 100","VENTES DIRECTES",99
"26",2020-08-26,"2020",8,26,35,"FXD JET 100","VENTES DIRECTES",98
"27",2020-08-27,"2020",8,27,35,"FXD JET 100","VENTES DIRECTES",98
"28",2020-08-28,"2020",8,28,35,"FXD JET 100","VENTES DIRECTES",97
"29",2020-08-29,"2020",8,29,35,"FXD JET 100","VENTES DIRECTES",97
"30",2020-08-30,"2020",8,30,35,"FXD JET 100","VENTES DIRECTES",96
"31",2020-08-31,"2020",8,31,35,"FXD JET 100","VENTES DIRECTES",96
