"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2020-12-01,"2020",12,1,48,"FXD JET 100","VENTES DIRECTES",86
"2",2020-12-02,"2020",12,2,49,"FXD JET 100","VENTES DIRECTES",87
"3",2020-12-03,"2020",12,3,49,"FXD JET 100","VENTES DIRECTES",87
"4",2020-12-04,"2020",12,4,49,"FXD JET 100","VENTES DIRECTES",86
"5",2020-12-05,"2020",12,5,49,"FXD JET 100","VENTES DIRECTES",86
"6",2020-12-06,"2020",12,6,49,"FXD JET 100","VENTES DIRECTES",85
"7",2020-12-07,"2020",12,7,49,"FXD JET 100","VENTES DIRECTES",84
"8",2020-12-08,"2020",12,8,49,"FXD JET 100","VENTES DIRECTES",85
"9",2020-12-09,"2020",12,9,50,"FXD JET 100","VENTES DIRECTES",86
"10",2020-12-10,"2020",12,10,50,"FXD JET 100","VENTES DIRECTES",85
"11",2020-12-11,"2020",12,11,50,"FXD JET 100","VENTES DIRECTES",85
"12",2020-12-12,"2020",12,12,50,"FXD JET 100","VENTES DIRECTES",85
"13",2020-12-13,"2020",12,13,50,"FXD JET 100","VENTES DIRECTES",84
"14",2020-12-14,"2020",12,14,50,"FXD JET 100","VENTES DIRECTES",86
"15",2020-12-15,"2020",12,15,50,"FXD JET 100","VENTES DIRECTES",86
"16",2020-12-16,"2020",12,16,51,"FXD JET 100","VENTES DIRECTES",85
"17",2020-12-17,"2020",12,17,51,"FXD JET 100","VENTES DIRECTES",84
"18",2020-12-18,"2020",12,18,51,"FXD JET 100","VENTES DIRECTES",82
"19",2020-12-19,"2020",12,19,51,"FXD JET 100","VENTES DIRECTES",82
"20",2020-12-20,"2020",12,20,51,"FXD JET 100","VENTES DIRECTES",81
"21",2020-12-21,"2020",12,21,51,"FXD JET 100","VENTES DIRECTES",81
"22",2020-12-22,"2020",12,22,51,"FXD JET 100","VENTES DIRECTES",79
"23",2020-12-23,"2020",12,23,52,"FXD JET 100","VENTES DIRECTES",80
"24",2020-12-24,"2020",12,24,52,"FXD JET 100","VENTES DIRECTES",79
"25",2020-12-25,"2020",12,25,52,"FXD JET 100","VENTES DIRECTES",79
"26",2020-12-26,"2020",12,26,52,"FXD JET 100","VENTES DIRECTES",78
"27",2020-12-27,"2020",12,27,52,"FXD JET 100","VENTES DIRECTES",78
"28",2020-12-28,"2020",12,28,52,"FXD JET 100","VENTES DIRECTES",78
"29",2020-12-29,"2020",12,29,52,"FXD JET 100","VENTES DIRECTES",79
"30",2020-12-30,"2020",12,30,53,"FXD JET 100","VENTES DIRECTES",78
"31",2020-12-31,"2020",12,31,53,"FXD JET 100","VENTES DIRECTES",78
